SITE ,IHDP,1.73
CFRNet,IHDP,1.92
causal forest,IHDP,8.13
DRN,IHDP,1.47
PM,IHDP ,1.65
BART,IHDP,3.3
CEVAE ,IHDP,2.5
"causal forest","IHDP",0,0.618476300049666,-1.71603194971434,0,1.26371247111045,0,0,3.69867482863892,0,8.34228510253493,7.19547029604939,0,-7.34228510253493
